user_id,text_duplicate,final
3315811819.0,"Trauma on top of this country's unending trauma &amp; legacy of hate #COVIDー19

""The nonprofit group Stop AAPI Hate has logged more than 1,100 reports of #coronavirus discrimination against Asian Americans since a reporting center was established on March 19."" @AARPAAPI",trauma top country unending trauma amp legacy hate covid19 the nonprofit group stop aapi hate log 1100 report coronavirus discrimination asian american since reporting center establish march 19
488416632.0,@missiwimberly Fauci spinning the wheel of Covid again hoping it lands on something else we can try. And he’s a specialist of some kind 😎 https://t.co/AwpkYdPj4p,fauci spin the wheel covid hop land something else try  specialist kind
384083449.0,"Keeping my #socialdistancing while providing the #faith through #socialmedia. #covid19 #clothmask #stayhome #stayhomestaysafe #coronavirus #veronicas idioms @ San Antonio, Texas https://t.co/gxAqBdsy04",keep socialdistancing provide the faith socialmedia covid19 clothmask stayhome stayhomestaysafe coronavirus veronica idiom san antonio texas
9.592523686626877e+17,Revolution mixed with Coronavirus is in the Air #revolution #RENTRELIEF #coronavirus #CoronavirusOutbreak #TrumpVirus #TrumpLiesPeopleDie #TrumpBurialPits #MoneyHeist,revolution mixed coronavirus the air revolution rentrelief coronavirus coronavirusoutbreak trumpvirus trumpliespeopledie trumpburialpits moneyheist
3306362990.0,"“Julian Dale, a @DukeU engineer &amp; not a guy who likes to sit around” 

That’s our our lead engineer! Check out a lovely story about his initiative to put our 3-D printer to good use during this difficult time. Thanks @tvtog for sharing a spot of good news https://t.co/QAtL45OWab",julian dale engineer amp guy like to sit around   lead engineer check out lovely story initiative to put 3d printer to good use difficult time thanks share spot good news
4470633014.0,"Even amid coronavirus, Democrats keep up their partisan games https://t.co/D28JUibuH0",even amid coronavirus democrat keep partisan game
4470633014.0,WHO Failed https://t.co/qCqdu7MRLD,fail
4470633014.0,Pence Blacklists CNN After Network Cut Back Airtime For Coronavirus Briefings - https://t.co/91615AhyuA,penny blacklist cnn network cut back airtime coronavirus briefing
4470633014.0,"NYT Calls Out De Blasio, Cuomo For Coronavirus Failures; Readers: Thanks For Finally Saying Something - https://t.co/njQWiMpmj3",nyt call out de blasio cuomo coronavirus failure reader thanks finally say something
4470633014.0,Trump unveils social media hashtag to highlight Americans helping one another amid coronavirus https://t.co/j4PG24spx9 via @usatoday,trump unveils social medium hashtag to highlight american help one another amid coronavirus via
4470633014.0,New York Hospitals Discharge More Coronavirus Patients than They Bring in for Four Straight Days - https://t.co/appXfUvIcp,new york hospital discharge coronavirus patient bring four straight day
4470633014.0,The Coronavirus Pandemic Is Not Stopping Border Wall Construction - https://t.co/2AjBWujyFQ,the coronavirus pandemic stop border wall construction
4470633014.0,"THIS has to be Stopped!
Not with Our Tax Dollars!
@realDonaldTrump @VP @MarkMeadows @parscale

Chicago Mayor Signs Executive Order Giving Coronavirus Benefits To Illegal Aliens - https://t.co/xVOV47HuiQ",to stop tax dollar chicago mayor sign executive order give coronavirus benefit to illegal alien
